# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	6947
#@/user_id	5130af82-6fd0-4a62-b531-2f7c0e3af40e
a 	啊	c=21 d=9.06571 t=6947
a da sa de 	啊搭撒的	c=1 d=0.856415 t=6947
a le tai 	阿勒泰	c=0 d=0.0995012 t=6947
a pa qi 	阿帕奇	c=3 d=2.76053 t=6947
a wu 	啊嗚	c=2 d=1.99501 t=6947
ai 	愛	c=4 d=3.36184 t=6947
ai cao 	艾草	c=1 d=0.955997 t=6947
ai hao zhe 	愛好者	c=1 d=0.918512 t=6947
ai ni 	愛你	c=1 d=0.995012 t=6947
ai san ding si 	捱三頂四	c=1 d=0.852144 t=6947
an 	安	c=10 d=6.31404 t=6947
an kou 	暗釦	c=2 d=1.69475 t=6947
an quan 	安全	c=86 d=18.1789 t=6947
an quan fa 	安全法	c=1 d=0.666977 t=6947
an quan ji 	安全級	c=1 d=0.927743 t=6947
an quan ti xi 	安全體系	c=1 d=0.909373 t=6947
an zhuang 	安裝	c=72 d=21.8351 t=6947
an zhuo 	安卓	c=1 d=0.786628 t=6947
ao 	奧	c=0 d=0.161858 t=6947
ba 	吧	c=2 d=1.4965 t=6947
ba 	把	c=17 d=7.69568 t=6947
ba zhe ge 	把這個	c=2 d=1.63011 t=6947
bai hu 	白虎	c=2 d=1.99501 t=6947
bai ke 	百科	c=2 d=1.76946 t=6947
bai mao 	白毛	c=1 d=1 t=6947
bai se 	白色	c=1 d=0.802519 t=6947
ban 	搬	c=2 d=1.60095 t=6947
ban 	版	c=2 d=1.81547 t=6947
ban 	辦	c=1 d=0.932394 t=6947
ban ben 	版本	c=15 d=9.91417 t=6947
ban fa 	辦法	c=3 d=2.41021 t=6947
ban gong 	辦公	c=1 d=0.465334 t=6947
ban quan 	版權	c=1 d=0.937067 t=6947
bang 	幫	c=4 d=2.69728 t=6947
bang ding 	綁定	c=1 d=0.985112 t=6947
bang wo 	幫我	c=8 d=6.27415 t=6947
bao 	包	c=23 d=8.77005 t=6947
bao 	報	c=1 d=0.960789 t=6947
bao bao 	寶寶	c=1 d=0.99005 t=6947
bao cun 	保存	c=2 d=1.55683 t=6947
bao cuo 	報錯	c=6 d=4.36137 t=6947
bao dou 	爆痘	c=1 d=0.99005 t=6947
bao guan 	保管	c=1 d=0.88692 t=6947
bao guan li qi 	包管理器	c=1 d=0.852144 t=6947
bao hu 	保護	c=12 d=4.82247 t=6947
bao kuo 	包括	c=2 d=1.43345 t=6947
bao liu 	保留	c=2 d=1.84902 t=6947
bao ming 	報名	c=5 d=4.24231 t=6947
bao zang 	寶藏	c=3 d=2.65234 t=6947
bao zhang 	保障	c=16 d=8.42637 t=6947
bei 	倍	c=1 d=0.960789 t=6947
bei 	備	c=1 d=0.965605 t=6947
bei 	被	c=9 d=5.9074 t=6947
bei ai 	悲哀	c=0 d=0.0941765 t=6947
bei ai ceng 	悲哀層	c=1 d=0.946485 t=6947
bei dong 	被動	c=1 d=0.878095 t=6947
bei fen 	備份	c=1 d=0.932394 t=6947
bei jing 	背景	c=6 d=5.12755 t=6947
bei lan jie 	被攔截	c=1 d=0.985112 t=6947
bei sai 	盃賽	c=1 d=0.960789 t=6947
bei wo 	被窩	c=1 d=0.955997 t=6947
bei zi 	杯子	c=1 d=0.951229 t=6947
ben di 	本地	c=1 d=0.955997 t=6947
ben ji 	本機	c=2 d=1.23195 t=6947
beng 	崩	c=2 d=1.61894 t=6947
beng beng 	蹦蹦	c=1 d=1 t=6947
bi 	比	c=3 d=2.4731 t=6947
bi ji 	筆記	c=1 d=0.99005 t=6947
bi jiao 	比較	c=1 d=0.932394 t=6947
bi sai 	比賽	c=2 d=1.81465 t=6947
bi yao 	必要	c=1 d=0.666977 t=6947
bi yao ao 	必要奧	c=1 d=0.847894 t=6947
bi ye 	畢業	c=1 d=0.99005 t=6947
bi zhi 	壁紙	c=0 d=0.0923116 t=6947
bian 	變	c=1 d=0.826959 t=6947
bian cheng 	編程	c=2 d=1.93239 t=6947
bian cheng 	變成	c=3 d=2.47571 t=6947
bian hua 	變化	c=2 d=1.90284 t=6947
bian jie 	邊界	c=1 d=0.694197 t=6947
bian liang 	變量	c=1 d=0.955997 t=6947
bian yi 	編譯	c=6 d=4.04268 t=6947
bian zhong 	變種	c=2 d=1.93605 t=6947
biao 	表	c=10 d=5.15901 t=6947
biao da 	表達	c=2 d=1.47057 t=6947
biao da shi 	表達式	c=1 d=0.99005 t=6947
biao ji 	標記	c=1 d=0.869358 t=6947
biao qian 	標籤	c=1 d=0.923116 t=6947
biao qing 	表情	c=1 d=0.980199 t=6947
biao zhi 	標誌	c=1 d=0.822835 t=6947
bie ren 	別人	c=2 d=1.80611 t=6947
bing 	並	c=4 d=2.69566 t=6947
bing po huai 	並破壞	c=1 d=0.806541 t=6947
bing qie 	並且	c=1 d=0.818731 t=6947
bo fang 	播放	c=2 d=1.88637 t=6947
bo fang qi 	播放器	c=1 d=0.946485 t=6947
bu 	不	c=13 d=5.11194 t=6947
bu 	步	c=2 d=1.70655 t=6947
bu 	補	c=6 d=4.13393 t=6947
bu bao kuo 	不包括	c=1 d=0.292293 t=6947
bu cuo 	不錯	c=2 d=1.84291 t=6947
bu dang 	不當	c=1 d=0.97531 t=6947
bu dao 	不到	c=1 d=0.960789 t=6947
bu dong 	不懂	c=1 d=0.995012 t=6947
bu dui 	不對	c=1 d=0.941765 t=6947
bu fang bian 	不方便	c=1 d=0.970446 t=6947
bu fen 	部分	c=1 d=0.995012 t=6947
bu gong kai 	不公開	c=2 d=1.95101 t=6947
bu guan le 	不管了	c=1 d=0.985112 t=6947
bu hao 	不好	c=1 d=0.818731 t=6947
bu hao kan 	不好看	c=1 d=0.985112 t=6947
bu hao yong 	不好用	c=2 d=1.93605 t=6947
bu hui 	不會	c=8 d=4.55113 t=6947
bu jiu shi 	不就是	c=1 d=0.814647 t=6947
bu kai 	不開	c=1 d=0.995012 t=6947
bu ke 	不可	c=1 d=0.852144 t=6947
bu le 	不了	c=2 d=1.56818 t=6947
bu neng 	不能	c=3 d=2.15504 t=6947
bu ran 	不然	c=1 d=0.680451 t=6947
bu shi 	不是	c=8 d=4.64097 t=6947
bu shi he 	不適合	c=1 d=0.955997 t=6947
bu shu yu 	不屬於	c=1 d=0.606531 t=6947
bu shuo 	不說	c=1 d=0.767206 t=6947
bu tai 	不太	c=2 d=1.60584 t=6947
bu teng 	不疼	c=1 d=0.970446 t=6947
bu tong 	不同	c=2 d=1.66641 t=6947
bu tong 	不通	c=2 d=1.851 t=6947
bu wan 	不玩	c=1 d=0.860708 t=6947
bu xi huan 	不喜歡	c=2 d=1.52201 t=6947
bu xiang 	不像	c=2 d=1.5611 t=6947
bu xiang 	不想	c=4 d=2.88795 t=6947
bu xin 	不信	c=1 d=0.932394 t=6947
bu xing 	不行	c=10 d=7.26885 t=6947
bu xue 	不學	c=1 d=0.918512 t=6947
bu yao 	補藥	c=1 d=0.932394 t=6947
bu yong 	不用	c=5 d=2.86029 t=6947
bu zhi 	不止	c=1 d=0.83527 t=6947
bu zhi 	佈置	c=2 d=1.48578 t=6947
bu zhi dao 	不知道	c=2 d=1.42907 t=6947
